E(P(A)),E(P(B)),algorithm,score
0.1,0.1,Greedy,0.08
0.1,0.1,EpsilonGreedy,0.1208
0.1,0.1,UCB,0.091208
0.1,0.1,ThompsonSampling,0.13091208
0.1,0.1,Greedy,0.13
0.1,0.1,EpsilonGreedy,0.1613
0.1,0.1,UCB,0.091613
0.1,0.1,ThompsonSampling,0.10091612999999999
0.1,0.1,Greedy,0.11
0.1,0.1,EpsilonGreedy,0.1011
0.1,0.1,UCB,0.121011
0.1,0.1,ThompsonSampling,0.11121010999999999
0.1,0.1,Greedy,0.11
0.1,0.1,EpsilonGreedy,0.1011
0.1,0.1,UCB,0.11101099999999998
0.1,0.1,ThompsonSampling,0.13111011
0.1,0.1,Greedy,0.08
0.1,0.1,EpsilonGreedy,0.17079999999999998
0.1,0.1,UCB,0.091708
0.1,0.1,ThompsonSampling,0.15091708
0.1,0.2,Greedy,0.13
0.1,0.2,EpsilonGreedy,0.1313
0.1,0.2,UCB,0.12131299999999999
0.1,0.2,ThompsonSampling,0.19121313
0.1,0.2,Greedy,0.07
0.1,0.2,EpsilonGreedy,0.23070000000000002
0.1,0.2,UCB,0.19230699999999998
0.1,0.2,ThompsonSampling,0.11192307
0.1,0.2,Greedy,0.1
0.1,0.2,EpsilonGreedy,0.171
0.1,0.2,UCB,0.18170999999999998
0.1,0.2,ThompsonSampling,0.1718171
0.1,0.2,Greedy,0.11
0.1,0.2,EpsilonGreedy,0.1211
0.1,0.2,UCB,0.161211
0.1,0.2,ThompsonSampling,0.18161211000000002
0.1,0.2,Greedy,0.1
0.1,0.2,EpsilonGreedy,0.091
0.1,0.2,UCB,0.14091
0.1,0.2,ThompsonSampling,0.12140909999999999
0.1,0.30000000000000004,Greedy,0.16
0.1,0.30000000000000004,EpsilonGreedy,0.1716
0.1,0.30000000000000004,UCB,0.23171599999999998
0.1,0.30000000000000004,ThompsonSampling,0.28231716
0.1,0.30000000000000004,Greedy,0.08
0.1,0.30000000000000004,EpsilonGreedy,0.17079999999999998
0.1,0.30000000000000004,UCB,0.241708
0.1,0.30000000000000004,ThompsonSampling,0.27241708
0.1,0.30000000000000004,Greedy,0.14
0.1,0.30000000000000004,EpsilonGreedy,0.1014
0.1,0.30000000000000004,UCB,0.301014
0.1,0.30000000000000004,ThompsonSampling,0.38301014
0.1,0.30000000000000004,Greedy,0.17
0.1,0.30000000000000004,EpsilonGreedy,0.3017
0.1,0.30000000000000004,UCB,0.283017
0.1,0.30000000000000004,ThompsonSampling,0.22283017000000002
0.1,0.30000000000000004,Greedy,0.13
0.1,0.30000000000000004,EpsilonGreedy,0.1113
0.1,0.30000000000000004,UCB,0.331113
0.1,0.30000000000000004,ThompsonSampling,0.29331113000000003
0.1,0.4,Greedy,0.09
0.1,0.4,EpsilonGreedy,0.41090000000000004
0.1,0.4,UCB,0.31410899999999997
0.1,0.4,ThompsonSampling,0.31314109
0.1,0.4,Greedy,0.12
